Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union - 27 countries (from 2020),4312237,4341741,4344647,4318817,4441347,4419258,4372607,4620411,4534200,4660917,4693576,4653033
European Union - 28 countries (2013-2020),4891934,4901358,4906313,4871049,5010371,4994203,4941447,5221683,5129855,5266665,5307889,5257654
European Union - 27 countries (2007-2013),4839783,4848944,4854217,4820030,4958661,4943817,4890608,5167478,5078313,5213188,5255183,5205860
Euro area - 19 countries  (from 2015),3135947,3156319,3162030,3154503,3258137,3251031,3209109,3412516,3350011,3443923,3462649,3438580
Euro area - 18 countries (2014),3092115,3114287,3119910,3113466,3217199,3209520,3168857,3370740,3308905,3403781,3423075,3400299
Belgium,104587,103854,105152,104292,109076,109334,104755,110541,108097,109666,110693,108783
Bulgaria,110523,108068,110165,108258,109281,104345,108952,110117,107580,109791,108526,108083
Czechia,104948,107421,106844,106848,108189,109160,105665,111173,107750,111443,112920,112362
Denmark,54591,54872,54368,52516,52325,52470,51340,52555,52824,53261,55232,53958
Germany (until 1990 former territory of the FRG),844439,854544,858768,852328,869582,893825,868356,925200,910902,932272,954874,939520
Estonia,16675,16081,15790,15244,15450,15244,15484,15243,15392,15543,15751,15401
Ireland,28274,28380,27961,28456,29186,29504,29252,30127,30667,30317,31140,30959
Greece,107979,108316,109084,111099,116668,111794,113740,121183,118788,124501,120296,124965
Spain,384198,383209,380234,386017,401122,388600,393734,420408,408231,422037,425153,416102
France,542734,548689,551369,545221,569986,569365,559435,593807,594005,606410,609747,613388
France (metropolitan),532131,538116,540469,534795,559227,561000,:,:,:,:,:,:
Croatia,52151,52414,52096,51019,51710,50386,50839,54205,51542,53477,52706,51794
Italy,585126,591663,587488,593427,612883,600744,598364,647571,615261,649061,633133,634417
Cyprus,5194,5182,5103,5504,5665,5141,5424,5859,5471,5996,5768,6239
Latvia,31006,29897,30040,28540,29025,28691,28466,28478,28580,28757,28820,27719
Lithuania,43832,42032,42120,41037,40938,41511,40252,41776,41106,40142,39574,38281
Luxembourg,3595,3655,3760,3819,3876,3822,3841,3983,3967,4263,4318,4283
Hungary,130027,130414,130456,128795,129440,126677,126294,131575,127098,131877,131247,129892
Malta,3243,3221,3010,3267,3418,3236,3270,3442,3342,3571,3688,3688
Netherlands,135136,134235,136058,135741,140813,141245,139223,147134,148997,150214,153363,151885
Austria,75083,77381,77199,76479,79436,79526,78252,83073,80669,83270,83975,83386
Poland,379399,384940,378478,375501,384788,387312,376467,394921,388009,402852,414200,409709
Portugal,104280,104434,105953,102845,107612,106554,104843,108539,110573,109758,113051,111793
Romania,253202,257213,259723,251439,255539,247475,254965,262442,258404,262321,263911,259889
Slovenia,18308,18750,18609,18699,19257,19334,18886,19834,19689,20509,20485,20588
Slovakia,53164,52913,53445,51903,52437,52089,51346,53826,52351,53914,54293,53234
Finland,49094,49883,50887,50585,51707,51472,52186,52492,53923,53722,54527,53949
Sweden,91449,90080,90487,89938,91938,90402,88976,90907,90982,91972,92185,88766
Iceland,1987,2002,2020,1986,1955,2154,2049,2178,2309,2238,2254,2275
Liechtenstein,205,229,238,248,224,246,268,252,271,249,274,263
Norway,41712,41449,41499,41393,41992,41131,40369,40676,40726,40774,40840,40684
Switzerland,61233,62476,62649,62091,64173,64961,63938,67606,64964,66971,67088,67780
United Kingdom,579697,559617,561666,552232,569024,574945,568840,601272,595655,605748,614313,604621
Montenegro,5708,5862,5633,5847,5922,5917,6014,6329,6464,6523,6504,6595
North Macedonia,18982,19060,19113,19465,20134,19208,19718,20461,20417,20318,19727,20446
Albania,15926,20428,20107,20012,20870,20442,20656,22418,21388,22232,21804,21937
Serbia,102711,104000,103211,102935,102400,100300,101247,103678,100834,103722,101655,101458
Turkey,392000,392000,365707,375367,374855,372094,390121,405218,422135,425781,426106,435941
Andorra,237,272,239,:,303,:,:,:,310,:,335,301
Belarus,133879,135056,137132,135090,126531,125326,121542,120026,119379,119311,120053,120470
Bosnia and Herzegovina,34026,34904,35118,35522,35817,35662,34824,:,35530,36336,37744,:
Kosovo (under United Nations Security Council Resolution 1244/99),6852,7037,7234,7111,7317,7135,7634,8202,8495,8721,8998,9430
Moldova,41948,42139,43631,39249,39560,38060,39494,39906,38489,36727,:,:
Monaco,:,:,:,:,:,:,:,289,298,:,253,:
Russia,2075954,2010543,2028516,1925720,:,1871809,1878039,:,:,:,:,:
San Marino,190,:,:,222,237,247,252,235,253,278,244,251
Ukraine,754460,706739,698235,664588,663139,662368,632296,594796,583631,574123,587665,581114
Armenia,27412,27560,27921,27963,:,27196,27714,27878,28226,27157,25751,26186
Azerbaijan,52710,52514,53580,53762,55017,54383,55648,54697,56648,57109,57250,55916
Georgia,43011,46625,47864,49818,:,48553,49087,49121,50771,47822,46524,46659
